OX,OY,DX,DY
40.749832,-73.991135,40.783894,-73.977615
40.750252,-73.991478,40.750774,-74.005547
40.75032,-73.991371,40.754749,-73.980896
40.750351,-73.99131,40.761791,-73.97905
40.750259,-73.991264,40.770748,-73.991173
40.750263,-73.991318,40.741947,-73.974739
40.75034,-73.991432,40.758732,-73.978111
40.749523,-73.991524,40.742416,-73.986259
40.749825,-73.991997,40.756649,-73.982613
40.750034,-73.99147,40.750904,-73.974213
40.74934,-73.99218,40.738743,-73.992157
40.749207,-73.992599,40.742577,-73.987045
40.750313,-73.991417,40.715218,-74.013817
40.749989,-73.991348,40.755489,-73.982025
40.750458,-73.991402,40.716389,-74.004517
40.750008,-73.991409,40.749763,-73.979599
40.749996,-73.991241,40.741512,-74.004196
40.750034,-73.991722,40.740608,-73.989113
40.748764,-73.991768,40.711403,-74.01545
40.749306,-73.991997,40.745274,-73.991585
40.750286,-73.991127,40.749722,-73.976418
40.74979,-73.992226,40.742027,-73.990395
40.750332,-73.991554,40.734493,-73.983261
40.750458,-73.991348,40.743465,-73.986259
40.749626,-73.991768,40.742641,-73.986099
40.749485,-73.991989,40.627045,-73.944168
40.749416,-73.991707,40.741638,-73.987549
40.749771,-73.991692,40.741898,-73.974762
40.74892,-73.992302,40.729851,-73.990738
40.749485,-73.992371,40.724911,-73.997131
40.750435,-73.991402,40.741493,-73.987656
40.750332,-73.991463,40.756435,-73.979935
40.750099,-73.991608,40.751743,-73.980324
40.750153,-73.992012,40.725647,-73.992165
40.749725,-73.992203,40.780602,-73.96196
40.74976,-73.992104,40.761543,-73.975502
40.749989,-73.9916,40.743198,-73.989006
40.750195,-73.991234,40.742702,-73.989632
40.749638,-73.99231,40.740578,-73.98674
40.749428,-73.991867,40.742889,-73.989716
40.750111,-73.991417,40.784111,-73.954231
40.749462,-73.990639,40.742626,-73.98645
40.750332,-73.991699,40.740612,-73.989632
40.750275,-73.991486,40.738869,-73.98851
40.749378,-73.991432,40.739098,-73.991989
40.750153,-73.991234,40.768368,-73.983627
40.750271,-73.991066,40.741653,-73.975044
40.75005,-73.991753,40.742325,-73.985718
40.750332,-73.99115,40.76638,-73.95694
40.750061,-73.99192,40.774296,-73.873413
40.74905,-73.992325,40.756096,-73.990639
40.750057,-73.991516,40.759663,-73.980881
40.750198,-73.991493,40.715843,-74.003326
40.749889,-73.99205,40.743759,-73.984131
40.750431,-73.991531,40.764935,-73.969223
40.75045,-73.991501,40.745232,-73.984177
40.74995,-73.991753,40.747589,-73.980637
40.750164,-73.992462,40.740852,-73.993134
40.748997,-73.991913,40.741936,-73.990334
40.750359,-73.991562,40.722736,-74.000282
40.750198,-73.991241,40.751179,-73.976982
40.749577,-73.992294,40.742622,-73.986992
40.748871,-73.992241,40.742161,-73.989853
40.749924,-73.991547,40.756748,-73.985756
40.749432,-73.991508,40.742489,-73.99369
40.749561,-73.992218,40.717346,-74.001511
40.750191,-73.991631,40.75885,-73.975548
40.749634,-73.992226,40.745193,-73.984848
40.750301,-73.991577,40.76226,-73.97847
40.749748,-73.991753,40.764172,-73.97438
40.749161,-73.992363,40.741669,-73.98542
40.75,-73.992027,40.760281,-73.984657
40.750111,-73.991783,40.75547,-73.975014
40.750301,-73.991753,40.756039,-73.974823
40.750069,-73.991814,40.756771,-73.982162
40.750397,-73.991524,40.74091,-73.987541
40.749748,-73.992302,40.76141,-73.975311
40.750378,-73.99128,40.737671,-73.989929
40.750423,-73.991226,40.746857,-73.980774
40.750179,-73.991501,40.724766,-73.996933
40.749649,-73.991997,40.755569,-73.97995
40.750332,-73.99131,40.715431,-74.005028
40.749664,-73.991943,40.722717,-74.009682
40.750118,-73.9916,40.707809,-74.012421
40.74976,-73.991798,40.739151,-73.987267
40.749733,-73.991867,40.74543,-73.98484
40.750126,-73.991409,40.74683,-73.982803
40.749687,-73.99202,40.744164,-73.989769
40.74934,-73.992233,40.737709,-73.978973
40.750317,-73.991753,40.745495,-73.984879
40.74939,-73.991119,40.738941,-73.992233
40.750259,-73.99128,40.764099,-73.955704
40.749554,-73.992218,40.710743,-74.00811
40.750202,-73.991348,40.759937,-73.978447
40.750134,-73.991547,40.752243,-73.979858
40.750286,-73.991631,40.741177,-73.994186
40.750011,-73.991074,40.72253,-73.980316
40.750286,-73.991478,40.751301,-74.006828
40.750359,-73.991547,40.74683,-73.981552
40.749611,-73.991814,40.73835,-73.990936
40.750397,-73.991486,40.763119,-73.978371
40.750275,-73.991356,40.737839,-73.990135
40.750019,-73.991501,40.761921,-73.979362
